================================================
  NLOC    CCN   token  PARAM  length  location  
------------------------------------------------
      13      1     51      1      13 easysrc_free@82-94@src/tool_easysrc.c
      12      2     56      2      12 easysrc_add@97-108@src/tool_easysrc.c
      17      2     78      3      17 easysrc_addf@110-126@src/tool_easysrc.c
       6      1     20      1       6 easysrc_init@130-135@src/tool_easysrc.c
      23      5    171      1      29 easysrc_perform@137-165@src/tool_easysrc.c
       6      1     31      1       7 easysrc_cleanup@167-173@src/tool_easysrc.c
      50     15    329      1      62 dumpeasysrc@175-236@src/tool_easysrc.c
      30      6    159      5      36 writeTime@153-188@src/tool_writeout.c
      75     31    295      3      80 urlpart@190-269@src/tool_writeout.c
     142     54    691      5     149 writeString@271-419@src/tool_writeout.c
      52     14    252      5      56 writeLong@421-476@src/tool_writeout.c
      27      6    143      5      32 writeOffset@478-509@src/tool_writeout.c
     156     42    839      3     165 ourWriteOut@511-675@src/tool_writeout.c
85 file analyzed.
==============================================================
NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
--------------------------------------------------------------
     11       0.0     0.0        0.0         0     src/tool_help.h
      5       0.0     0.0        0.0         0     src/tool_util.h
    460      17.9     5.2      101.5        25     src/tool_paramhlp.c
     43       0.0     0.0        0.0         0     src/tool_urlglob.h
     45       0.0     0.0        0.0         0     src/tool_operate.h
      2       0.0     0.0        0.0         0     src/tool_binmode.h
     31       0.0     0.0        0.0         0     src/tool_libinfo.h
     19      11.0     4.0       79.0         1     src/tool_sleep.c
    177      28.2     7.5      147.7         6     src/tool_operhlp.c
     70       9.4     2.6       56.0         7     src/tool_util.c
    215      51.2    17.2      326.5         4     src/tool_cb_dbg.c
     18      15.0     6.0       83.0         1     src/tool_bname.c
      3       0.0     0.0        0.0         0     src/tool_ipfs.h
    358      49.1    13.1      265.0         7     src/var.c
    259      81.3    30.7      543.0         3     src/tool_cb_hdr.c
    542      53.4    14.2      344.0        10     src/tool_urlglob.c
     14       0.0     0.0        0.0         0     src/var.h
     88      21.3     4.7      108.0         3     src/tool_vms.c
   2347     204.9    61.0      962.2        10     src/tool_getparam.c
     30      13.5     3.0       65.5         2     src/slist_wc.c
      4       0.0     0.0        0.0         0     src/tool_stderr.h
    695      48.9    14.8      271.9        14     src/tool_formparse.c
      4       0.0     0.0        0.0         0     src/tool_cb_dbg.h
    131      18.7     5.5      108.2         6     src/tool_main.c
    100      22.2     5.8      135.2         4     src/tool_getpass.c
      2       0.0     0.0        0.0         0     src/tool_strdup.h
    142      45.7     1.7      294.7         3     src/tool_cfgable.c
     10       0.0     0.0        0.0         0     src/tool_cb_hdr.h
    437      37.5    15.0      229.5        11     src/tool_doswin.c
   2026     103.6    33.9      623.5        19     src/tool_operate.c
      4       0.0     0.0        0.0         0     src/tool_dirhie.h
     36       0.0     0.0        0.0         0     src/tool_formparse.h
    274       0.0     0.0        0.0         0     src/tool_cfgable.h
    136      25.0     9.5      150.0         2     src/tool_libinfo.c
     71      31.0     6.5      203.0         2     src/tool_cb_rea.c
     17       0.0     0.0        0.0         0     src/tool_cb_prg.h
     79      22.0     7.0      129.3         3     src/tool_xattr.c
     96      36.5    12.5      223.0         2     src/tool_findfile.c
      1       0.0     0.0        0.0         0     src/tool_version.h
     81      37.0    12.5      191.5         2     src/tool_dirhie.c
      2       0.0     0.0        0.0         0     src/tool_sleep.h
     39       0.0     0.0        0.0         0     src/tool_getparam.h
      6       0.0     0.0        0.0         0     src/tool_setup.h
    779       0.0     0.0        0.0         0     src/tool_listhelp.c
    229      42.2     8.2      256.6         5     src/tool_progress.c
      8       0.0     0.0        0.0         0     src/tool_operhlp.h
      5       0.0     0.0        0.0         0     src/tool_xattr.h
    101      47.5     8.5      298.0         2     src/tool_filetime.c
    466      39.2    10.4      230.8         9     src/tool_setopt.c
     93      28.3     8.3      103.3         3     src/tool_helpers.c
      6       0.0     0.0        0.0         0     src/tool_filetime.h
     35       0.0     0.0        0.0         0     src/tool_sdecls.h
     21       0.0     0.0        0.0         0     src/tool_paramhlp.h
      2       0.0     0.0        0.0         0     src/tool_bname.h
    119      28.5     7.8      181.8         4     src/tool_writeout_json.c
      2       0.0     0.0        0.0         0     src/tool_parsecfg.h
     31      13.0     3.0       56.5         2     src/tool_stderr.c
      5       0.0     0.0        0.0         0     src/tool_cb_rea.h
      2       0.0     0.0        0.0         0     src/tool_findfile.h
     14      13.0     3.0       68.0         1     src/tool_strdup.c
     39       0.0     0.0        0.0         0     src/tool_setopt.h
    180      48.7    14.3      339.0         3     src/tool_cb_prg.c
      8       0.0     0.0        0.0         0     src/tool_writeout_json.h
    201      64.7    17.3      345.7         3     src/tool_ipfs.c
     22       0.0     0.0        0.0         0     src/tool_doswin.h
     82       0.0     0.0        0.0         0     src/tool_writeout.h
     11       6.0     3.0       33.0         1     src/tool_binmode.c
      1       0.0     0.0        0.0         0     src/tool_main.h
      3       0.0     0.0        0.0         0     src/tool_cb_see.h
      6       0.0     0.0        0.0         0     src/tool_msgs.h
      7       0.0     0.0        0.0         0     src/slist_wc.h
    276     133.5    49.0      853.0         2     src/tool_cb_wrt.c
     83      15.6     3.4       87.4         5     src/tool_msgs.c
     36      15.0     6.0       91.0         2     src/tool_cb_see.c
      4       0.0     0.0        0.0         0     src/tool_cb_wrt.h
     15       0.0     0.0        0.0         0     src/tool_easysrc.h
      4       0.0     0.0        0.0         0     src/tool_vms.h
      2       0.0     0.0        0.0         0     src/tool_getpass.h
    232      55.0    19.8      288.8         4     src/tool_parsecfg.c
    155      16.3     4.9       97.7         7     src/tool_help.c
     11       0.0     0.0        0.0         0     src/tool_progress.h
    168      18.1     3.9      105.1         7     src/tool_easysrc.c
    590      80.3    25.5      396.5         6     src/tool_writeout.c
      6       0.0     0.0        0.0         0     src/tool_helpers.h
      2       0.0     0.0        0.0         0     src/tool_hugehelp.h

===========================================================================================================
